[INFO] [03/15/2024 21:34:10.401] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor29] /!\ [Actor29] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.401] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor29] /!\ [Actor29] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.401] [system-akka.actor.default-dispatcher-24] [akka://system/user/Actor32] /!\ [Actor32] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.401] [system-akka.actor.default-dispatcher-24] [akka://system/user/Actor32] /!\ [Actor32] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.401] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor29] /!\ [Actor29] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.401] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor32] /!\ [Actor32] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.401] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor32] /!\ [Actor32] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.401] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor68] /!\ [Actor68] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.401] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor68] /!\ [Actor68] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.401] [system-akka.actor.default-dispatcher-11] [akka://system/user/Actor68] /!\ [Actor68] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.401] [system-akka.actor.default-dispatcher-11] [akka://system/user/Actor68] /!\ [Actor68] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.401] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor1] /!\ [Actor1] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.401] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor1] /!\ [Actor1] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.401] [system-akka.actor.default-dispatcher-25] [akka://system/user/Actor1] /!\ [Actor1] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.401] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor1] /!\ [Actor1] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.402] [system-akka.actor.default-dispatcher-28] [akka://system/user/Actor15] /!\ [Actor15] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.402] [system-akka.actor.default-dispatcher-28] [akka://system/user/Actor15] /!\ [Actor15] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.402] [system-akka.actor.default-dispatcher-28] [akka://system/user/Actor15] /!\ [Actor15] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.402] [system-akka.actor.default-dispatcher-6] [akka://system/user/Actor15] /!\ [Actor15] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.402] [system-akka.actor.default-dispatcher-28] [akka://system/user/Actor19] /!\ [Actor19] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.402] [system-akka.actor.default-dispatcher-28] [akka://system/user/Actor19] /!\ [Actor19] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.402] [system-akka.actor.default-dispatcher-11] [akka://system/user/Actor19] /!\ [Actor19] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.402] [system-akka.actor.default-dispatcher-30] [akka://system/user/Actor19] /!\ [Actor19] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.402] [system-akka.actor.default-dispatcher-28] [akka://system/user/Actor41] /!\ [Actor41] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.402] [system-akka.actor.default-dispatcher-28] [akka://system/user/Actor41] /!\ [Actor41] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.403] [system-akka.actor.default-dispatcher-6] [akka://system/user/Actor41] /!\ [Actor41] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.403] [system-akka.actor.default-dispatcher-8] [akka://system/user/Actor41] /!\ [Actor41] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.403] [system-akka.actor.default-dispatcher-23] [akka://system/user/Actor53] /!\ [Actor53] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.403] [system-akka.actor.default-dispatcher-23] [akka://system/user/Actor53] /!\ [Actor53] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.403] [system-akka.actor.default-dispatcher-23] [akka://system/user/Actor53] /!\ [Actor53] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.403] [system-akka.actor.default-dispatcher-23] [akka://system/user/Actor53] /!\ [Actor53] received DECIDE from [Actor51], proposal [0]
